date,lambda_max,lambda_2,lambda_3,var_market,sigma2_noise,n_factors,TW_z,TW_p,participation_ratio,IPR_v1,D_KS_GUE,D_KS_Poisson,zeta_score,vol_past_120,vol_future_21,regime,vol_ewma_60
2010-06-21,36.10528271800066,6.1449299640916255,3.217776766423333,0.6017547119666776,0.12374464646287309,15,3074.5870331488377,0.005,0.9008861453484868,0.018500303010231724,0.27142671960694637,0.1085018866071884,-0.9169191005029327,0.09721533483179984,0.15660861811576435,1,0.14133740719430102
2010-06-28,36.520558220854525,5.657945162236083,3.1945901106632566,0.6086759703475754,0.13478190138319543,13,2853.075636642708,0.005,0.9128887254879429,0.01825706266419082,0.1759434728010516,0.15822890315080068,-0.10611939115833283,0.09952124300967098,0.15941480493343096,1,0.13964563963043794
2010-07-05,36.533105875808516,4.758867552647138,3.4858467636267654,0.6088850979301419,0.1301040121070124,15,2957.794218247933,0.005,0.9053771738984598,0.018408534196749995,0.17914243879469227,0.170048905383266,-0.05209486394493053,0.0957455939390036,0.17182348045281726,1,0.12797694870229093
2010-07-12,35.5872914138128,5.069304989085796,3.6225077996722255,0.5931215235635466,0.15329124147196482,12,2440.051479683243,0.005,0.8988641545572585,0.018541919356964396,0.20644820624150356,0.1265894573250434,-0.4890972772372707,0.09210093679817326,0.16829193089109498,1,0.13490760319105968
2010-07-19,35.38689729720156,5.125487842493239,3.659293840076802,0.5897816216200259,0.14771527488398875,13,2518.8847313387696,0.005,0.9021875167794418,0.018473617021616554,0.26198490962760673,0.11871507001057485,-0.7915560464070985,0.09308590837049467,0.1823736120524196,1,0.12427552845913808
2010-07-26,36.458107770750594,5.795207118679891,3.208512209967659,0.6076351295125099,0.12628179125485886,14,3041.932102450529,0.005,0.912702809381073,0.018260781598742705,0.16854416034935676,0.15602645686105276,-0.07717173054391396,0.10384160717734404,0.14648019422917863,1,0.15551836691124685
2010-08-02,37.53494407899407,5.560051152120892,3.08567307592007,0.6255824013165678,0.12518941797211602,12,3160.295516108548,0.005,0.9172018958642099,0.018171208260492015,0.23199460653031434,0.09029547364247809,-0.9436200260355697,0.11120291325786802,0.12123936310697456,1,0.16864810570626515
2010-08-09,37.89434693163702,5.36942744791098,3.0647148446796257,0.6315724488606169,0.12608469108776035,12,3167.9753484156413,0.005,0.9234049736551766,0.018049141105114335,0.253866927422973,0.1013121716617974,-0.918597731932821,0.11427450281556743,0.16992995301166966,1,0.15909302270177594
2010-08-16,37.979583214013104,5.3481995078289195,3.080389211611288,0.6329930535668851,0.1250959839897738,12,3200.509734333977,0.005,0.9277261592636681,0.017965071373965483,0.20397190911361768,0.1124932986045793,-0.5950846452732204,0.11763599554522475,0.15921381312608324,1,0.15768427245900402
2010-08-23,37.48435701215887,5.505659463404044,3.208537993524717,0.6247392835359811,0.13099315468127642,11,3014.7987711987057,0.005,0.9189925146372967,0.018135802415370685,0.2536965052860442,0.0875530731433499,-1.0638860519597855,0.1186625756168151,0.15810618077738114,1,0.14140459893366916
