Date,BRL_Open,BRL_High,BRL_Low,BRL_Close,BRL_Volume,ZAR_Open,ZAR_High,ZAR_Low,ZAR_Close,ZAR_Volume,TRY_Open,TRY_High,TRY_Low,TRY_Close,TRY_Volume,MXN_Open,MXN_High,MXN_Low,MXN_Close,MXN_Volume,CNY_Open,CNY_High,CNY_Low,CNY_Close,CNY_Volume,KRW_Open,KRW_High,KRW_Low,KRW_Close,KRW_Volume,TNX_Open,TNX_High,TNX_Low,TNX_Close,TNX_Volume,EMB_Open,EMB_High,EMB_Low,EMB_Close,EMB_Volume
2010-01-01,1.741215,1.761831,1.720840,1.741215,0.000000,7.415913,7.489984,7.342575,7.415913,0.000000,1.500598,1.507446,1.493782,1.500598,0.000000,13.107840,13.209818,13.006649,13.107840,0.000000,6.831362,6.837634,6.825096,6.831362,0.000000,1180.588446,1188.999888,1172.236510,1180.588446,0.000000,38.170890,38.865917,37.488292,38.170890,0.000000,104.729022,105.042521,104.416459,104.729022,0.000000
2010-01-04,1.741762,1.759882,1.722094,1.740010,0.000000,7.430232,7.454738,7.385687,7.410047,0.000000,1.503320,1.511762,1.491628,1.500005,0.000000,13.100916,13.171321,13.030037,13.100062,0.000000,6.837786,6.845259,6.822554,6.830011,0.000000,1180.172484,1183.344675,1176.841395,1180.004631,0.000000,38.197293,38.884208,37.330024,38.001342,0.000000,104.780166,105.570698,104.408556,105.196284,0.000000
2010-01-05,1.739265,1.751460,1.733904,1.746061,0.000000,7.405545,7.487946,7.375007,7.457068,0.000000,1.498912,1.498912,1.472847,1.472847,0.000000,13.095480,13.276259,13.070232,13.250662,0.000000,6.831148,6.838769,6.815901,6.823506,0.000000,1182.217222,1188.188383,1175.757289,1181.695823,0.000000,37.997853,38.371424,37.393095,37.760719,0.000000,105.031177,105.633042,104.651441,105.251130,0.000000
2010-01-06,1.745179,1.769385,1.720374,1.744237,0.000000,7.441636,7.463705,7.313253,7.334942,0.000000,1.471249,1.490651,1.448991,1.468099,0.000000,13.263159,13.355586,13.127165,13.218644,0.000000,6.838842,6.844426,6.814861,6.820425,0.000000,1183.925824,1194.216146,1177.180259,1187.411951,0.000000,37.812919,37.936014,36.558952,36.677965,0.000000,105.266199,105.762445,104.565577,105.058519,0.000000
2010-01-07,1.744724,1.757060,1.737882,1.750170,0.000000,7.329069,7.359199,7.197601,7.227190,0.000000,1.467509,1.470119,1.454856,1.457444,0.000000,13.240270,13.437164,13.199112,13.395394,0.000000,6.827904,6.832511,6.808165,6.812759,0.000000,1188.059906,1192.917341,1181.576819,1186.407747,0.000000,36.696773,37.483723,36.155600,36.930945,0.000000,104.971418,105.107439,104.627420,104.762995,0.000000
2010-01-08,1.751946,1.769078,1.745940,1.763014,0.000000,7.239682,7.250470,7.176048,7.186742,0.000000,1.455765,1.477329,1.430819,1.452014,0.000000,13.382805,13.548654,13.279614,13.444184,0.000000,6.813147,6.830094,6.806001,6.822930,0.000000,1186.893839,1187.067693,1171.734025,1171.905659,0.000000,36.923398,37.746144,36.297819,37.106626,0.000000,104.662838,105.209661,104.392476,104.937886,0.000000
2010-01-11,1.763683,1.779473,1.739861,1.755438,0.000000,7.188772,7.250780,7.163157,7.224944,0.000000,1.454205,1.480138,1.434762,1.460348,0.000000,13.474507,13.514574,13.371572,13.411333,0.000000,6.817207,6.826290,6.806711,6.815779,0.000000,1171.836165,1175.345198,1165.200960,1168.690124,0.000000,37.090460,37.715044,36.481880,37.096215,0.000000,105.015357,105.048337,104.676130,104.709003,0.000000
2010-01-12,1.754931,1.782716,1.754931,1.782716,0.000000,7.222909,7.251352,7.113925,7.141938,0.000000,1.461633,1.470114,1.451746,1.460170,0.000000,13.423651,13.459920,13.389610,13.425787,0.000000,6.810177,6.841892,6.799346,6.831010,0.000000,1169.435574,1169.435574,1161.902078,1161.902078,0.000000,37.053133,37.515976,36.311570,36.765150,0.000000,104.626457,105.588158,104.626457,105.588158,0.000000
2010-01-13,1.780070,1.786238,1.772785,1.778928,0.000000,7.143281,7.217319,7.093753,7.167278,0.000000,1.461101,1.461101,1.435006,1.435006,0.000000,13.414563,13.536638,13.272231,13.393010,0.000000,6.833282,6.867772,6.833282,6.867772,0.000000,1163.181852,1168.648678,1155.207088,1160.636434,0.000000,36.698774,37.037926,36.545792,36.883530,0.000000,105.668280,106.904098,105.668280,106.904098,0.000000
2010-01-14,1.777547,1.796151,1.761429,1.779863,0.000000,7.169503,7.169503,6.966701,6.966701,0.000000,1.437030,1.456542,1.436252,1.455753,0.000000,13.381466,13.513233,13.381466,13.513233,0.000000,6.854543,6.883089,6.854543,6.883089,0.000000,1160.763349,1163.549649,1153.064430,1155.832249,0.000000,36.881847,37.333821,36.255402,36.699699,0.000000,106.849539,107.577770,106.849539,107.577770,0.000000
2010-01-15,1.778711,1.798124,1.776299,1.795685,0.000000,6.973683,7.024781,6.947785,6.998694,0.000000,1.454877,1.465615,1.437995,1.448609,0.000000,13.511885,13.565762,13.484205,13.537972,0.000000,6.883861,6.895310,6.869923,6.881349,0.000000,1157.566318,1165.107541,1149.478231,1156.966762,0.000000,36.744373,36.951858,36.480192,36.686185,0.000000,107.849684,107.849684,106.371182,106.371182,0.000000
2010-01-18,1.797757,1.803407,1.775342,1.780923,0.000000,6.999465,7.089515,6.913593,7.002539,0.000000,1.446706,1.459911,1.436123,1.449231,0.000000,13.530509,13.574614,13.474291,13.518213,0.000000,6.872337,6.894571,6.863346,6.885550,0.000000,1157.335191,1167.869205,1155.412475,1165.928989,0.000000,36.666548,37.229876,35.910491,36.462203,0.000000,106.538039,107.057095,106.381120,106.899412,0.000000
2010-01-19,1.777133,1.818395,1.769080,1.810155,0.000000,7.011758,7.078798,6.961449,7.028008,0.000000,1.449734,1.465156,1.439058,1.454366,0.000000,13.497789,13.580306,13.427148,13.509233,0.000000,6.879577,6.896730,6.872309,6.889443,0.000000,1166.929081,1169.760942,1163.075061,1165.897569,0.000000,36.429040,36.514259,36.045811,36.130134,0.000000,107.024442,107.252315,106.852305,107.079813,0.000000
2010-01-20,1.811142,1.840195,1.790829,1.819556,0.000000,7.024278,7.125071,6.969636,7.069645,0.000000,1.454816,1.482289,1.445940,1.473245,0.000000,13.481636,13.620140,13.380692,13.518158,0.000000,6.886659,6.906486,6.874806,6.894598,0.000000,1163.771160,1166.955017,1157.311661,1160.477847,0.000000,36.116528,36.957279,36.116528,36.957279,0.000000,107.175576,107.694362,106.773393,107.290232,0.000000
2010-01-21,1.818661,1.823210,1.810029,1.814556,0.000000,7.069273,7.069273,6.853858,6.853858,0.000000,1.471986,1.481396,1.467314,1.476695,0.000000,13.527867,13.592703,13.508423,13.573166,0.000000,6.902225,6.907255,6.881523,6.886538,0.000000,1162.878560,1166.941242,1151.542292,1155.565369,0.000000,36.978403,37.743881,36.612359,37.370259,0.000000,107.262551,107.512212,106.644426,106.892649,0.000000
